model,split,MAE,RMSE,n
baseline_persistence,train,2.5234650607734808,9.615972582774088,90500
baseline_persistence,val,3.386017095244936,12.002074380078593,13922
baseline_persistence,test,3.747993185689949,17.327493284835935,13501
ridge,val,3.584345268099388,10.934799905307948,13922
ridge,test,4.200637622525164,15.06333873186415,13501
