feature,coefficient
num__vol_lag2,0.005542293451187572
num__vol_lag1,0.004419150694758406
num__vol_std7,0.00438659862869758
cat__weapon_M4A4,0.004075062307183114
cat__weapon_MAC-10,0.0028593402395803904
cat__wear_Battle-Scarred,0.0026905843961420074
cat__weapon_SSG 08,0.0026859245762033443
num__logret_lag1,0.0025625206341929594
cat__weapon_AK-47,0.002253006707822817
num__logret_std7,0.002083219780198651
num__vol_z7,0.0020657940696889587
num__logret_lag2,0.0017939035619690985
cat__weapon_FAMAS,0.0016119777979771103
cat__weapon_Glock-18,0.0011701127517244243
cat__weapon_M4A1-S,0.0010114357502540678
cat__wear_Well-Worn,0.0009831671072861813
cat__rarity_Classified,0.0008913604727728681
cat__wear_Field-Tested,0.0008762186105177168
num__price_deviation_ma7,5.209377891415855e-05
cat__weapon_P250,-0.0004695384837179617
cat__weapon_P90,-0.00047945701758860513
num__is_stattrak,-0.0007258476034930617
cat__rarity_Covert,-0.0008913604727747841
cat__wear_Minimal Wear,-0.001080744725288482
cat__weapon_Desert Eagle,-0.001152859807631357
cat__weapon_Five-SeveN,-0.0012506471067729038
cat__weapon_UMP-45,-0.0024730667521789627
cat__weapon_AUG,-0.003094472046638957
cat__weapon_USP-S,-0.003216257237615256
cat__wear_Factory New,-0.003469225388653354
cat__weapon_AWP,-0.0035305616785434213
num__logret_sum7,-0.005655987450738745
num__vol_ma7,-0.01370799715108259
