feature,mean_abs_shap
num__vol_ma7,0.007935697203188794
num__logret_sum7,0.0040240395388453235
num__vol_lag2,0.0031725008234287973
num__vol_lag1,0.0025627364242321498
num__vol_std7,0.0019416057090563953
num__vol_z7,0.0017073738755173542
num__logret_lag1,0.0014017594539264113
num__logret_std7,0.0012047638330405135
num__logret_lag2,0.0009700106814805751
cat__weapon_M4A4,0.0008720089995730395
cat__wear_Battle-Scarred,0.0008688793876607992
cat__weapon_USP-S,0.0006100167894010026
num__is_stattrak,0.0006086242919082273
cat__wear_Factory New,0.000532225430957924
cat__weapon_AWP,0.0005082596592431422
cat__weapon_AK-47,0.0004121500270843966
cat__rarity_Covert,0.0004067872077586567
cat__rarity_Classified,0.00040678720775780166
cat__wear_Field-Tested,0.0003936090827593681
cat__wear_Minimal Wear,0.0003391376947955327
cat__weapon_AUG,0.00032999449905356416
cat__weapon_SSG 08,0.00032843485717816835
cat__wear_Well-Worn,0.00029436023192147315
cat__weapon_UMP-45,0.00026016662232924195
cat__weapon_MAC-10,0.00017796533651148473
cat__weapon_FAMAS,0.00015692066537375063
cat__weapon_Glock-18,0.00015498533434173006
cat__weapon_M4A1-S,0.0001236783635410639
cat__weapon_Desert Eagle,0.00010806139263530776
cat__weapon_Five-SeveN,0.00010413721575728744
cat__weapon_P250,5.11734342121422e-05
cat__weapon_P90,4.180865193372867e-05
num__price_deviation_ma7,3.5953480594850875e-05
