model,split,MAE,RMSE,R2,n
baseline_zero_return,val,0.015909,0.016493,-0.060825,16008
baseline_zero_return,test,0.015953,0.016535,-0.066335,15834
baseline_lag1_return,val,0.0,0.0,1.0,16008
baseline_lag1_return,test,0.0,0.0,1.0,15834
baseline_ma7_return,val,0.013636,0.01368,0.27014,16008
baseline_ma7_return,test,0.013636,0.01368,0.270086,15834
ridge,val,0.0,0.0,1.0,16008
ridge,test,0.0,0.0,1.0,15834
random_forest,val,0.0,0.0,1.0,16008
random_forest,test,0.0,0.0,1.0,15834
